customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,SupportCalls,Churn
CUST-0034,Female,0,No,No,20,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,69.16,1176.04,9,Yes
CUST-0035,Male,1,Yes,No,29,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.9,8521.11,4,Yes
CUST-0036,Female,1,Yes,Yes,24,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),35.42,2255.92,8,No
CUST-0037,Male,0,No,Yes,63,No,Yes,Fiber optic,No internet service,No,No internet service,No,No internet service,No,One year,Yes,Mailed check,106.41,4001.66,4,No
CUST-0038,Male,0,Yes,Yes,57,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,58.21,1895.65,9,Yes
CUST-0039,Male,0,Yes,Yes,8,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),112.34,4306.24,5,Yes
CUST-0040,Male,1,Yes,No,62,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),104.47,6581.74,3,Yes
CUST-0041,Male,0,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),56.42,4542.21,9,No
CUST-0042,Female,0,Yes,No,17,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),76.54,2498.0,0,No
CUST-0043,Female,0,Yes,Yes,66,Yes,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),20.77,2174.58,3,Yes
CUST-0044,Female,0,No,No,6,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,One year,No,Mailed check,44.85,6607.07,1,No
CUST-0045,Female,0,Yes,No,58,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),90.45,1044.54,9,No
CUST-0046,Female,0,No,Yes,69,Yes,Yes,No,No internet service,Yes,No,No internet service,Yes,No,One year,No,Mailed check,87.15,3230.05,2,No
CUST-0047,Male,0,No,No,28,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Two year,No,Electronic check,54.04,1333.17,6,No
CUST-0048,Female,0,Yes,No,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,One year,No,Credit card (automatic),100.48,2257.75,6,No
CUST-0049,Female,0,No,Yes,41,Yes,No,Fiber optic,Yes,No internet service,No internet service,Yes,No,No,One year,No,Mailed check,42.06,1343.6,0,No
CUST-0050,Male,0,No,No,69,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,65.05,7716.96,7,Yes
CUST-0051,Female,1,Yes,No,41,Yes,No,DSL,No,No,No,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,66.2,6372.39,6,No
CUST-0052,Male,0,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),52.76,4887.97,0,Yes
CUST-0053,Female,0,No,No,49,No,No phone service,DSL,No internet service,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Mailed check,115.38,1966.46,7,Yes
CUST-0054,Male,1,Yes,No,71,Yes,No,Fiber optic,No,No,No internet service,No internet service,No internet service,No,Month-to-month,No,Electronic check,89.06,4447.79,1,No
CUST-0055,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),73.0,4539.87,7,Yes
CUST-0056,Female,0,Yes,No,10,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No,One year,Yes,Electronic check,70.07,5143.89,2,Yes
CUST-0057,Male,0,No,No,35,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),34.25,539.66,9,Yes
CUST-0058,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),55.96,8464.73,6,No
CUST-0059,Male,0,No,No,24,No,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,86.62,4058.94,5,No
CUST-0060,Male,0,No,Yes,38,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),112.31,8062.15,4,No
CUST-0061,Male,0,No,No,22,Yes,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),101.28,103.15,9,No
CUST-0062,Male,0,No,No,26,Yes,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Mailed check,48.64,2167.3,1,No
CUST-0063,Male,0,No,No,43,Yes,No phone service,No,No,No,Yes,Yes,Yes,Yes,Two year,No,Mailed check,62.26,920.89,1,No
CUST-0064,Male,0,No,Yes,55,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,No,Electronic check,26.46,6699.81,0,No
CUST-0065,Female,0,No,No,39,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),28.42,2797.33,8,Yes
CUST-0066,Female,0,Yes,Yes,29,Yes,No,No,No,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),65.96,7315.16,7,Yes
CUST-0067,Male,0,Yes,Yes,20,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),72.08,7244.77,7,Yes
CUST-0068,Female,1,No,Yes,41,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),44.93,5815.79,0,Yes
CUST-0069,Female,0,No,No,54,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,One year,No,Mailed check,83.56,5798.32,4,Yes
CUST-0070,Female,0,Yes,No,20,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,No,No,Two year,Yes,Credit card (automatic),89.74,6096.79,5,No
CUST-0071,Female,0,No,No,19,Yes,No,DSL,No internet service,No,No,No,No internet service,Yes,One year,Yes,Mailed check,48.51,5867.62,1,No
CUST-0072,Male,0,Yes,Yes,66,Yes,No,No,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),95.36,3377.14,9,Yes
CUST-0073,Female,0,Yes,No,30,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,38.97,5946.31,4,Yes
CUST-0074,Male,1,Yes,No,53,Yes,No,DSL,No,No,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,73.51,7809.29,5,No
CUST-0075,Female,1,No,No,34,Yes,No,No,Yes,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,100.04,2905.4,8,Yes
CUST-0076,Female,0,No,Yes,22,Yes,Yes,No,No,Yes,Yes,No,No internet service,Yes,One year,Yes,Electronic check,72.77,8221.53,9,No
CUST-0077,Female,1,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,110.61,135.92,0,No
CUST-0078,Male,0,Yes,No,6,Yes,Yes,DSL,No internet service,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,23.97,3048.73,9,Yes
CUST-0079,Female,0,Yes,No,27,Yes,No,No,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Mailed check,78.01,1164.88,2,Yes
CUST-0080,Male,0,Yes,Yes,10,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),75.3,1117.31,8,Yes
CUST-0081,Female,1,Yes,Yes,48,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,No,Month-to-month,No,Credit card (automatic),85.36,7097.56,0,No
CUST-0082,Male,0,No,No,70,Yes,Yes,No,No,Yes,No,Yes,Yes,No internet service,One year,No,Mailed check,103.01,7991.27,0,No
CUST-0083,Female,0,Yes,No,59,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),92.04,6770.5,0,No
CUST-0084,Male,0,No,No,59,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),98.61,8496.98,6,Yes
CUST-0085,Male,0,Yes,No,2,Yes,No phone service,Fiber optic,No,No internet service,Yes,Yes,No,No internet service,One year,Yes,Electronic check,47.46,1896.17,4,Yes
CUST-0086,Female,0,No,Yes,29,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Credit card (automatic),57.52,1240.42,5,Yes
CUST-0087,Male,0,No,No,68,Yes,No,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),81.93,4538.75,7,No
CUST-0088,Female,0,No,No,65,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),74.45,7215.7,1,No
CUST-0089,Female,0,No,No,26,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),116.03,363.88,1,No
CUST-0090,Female,0,No,No,10,Yes,No,Fiber optic,No internet service,No,No,Yes,No internet service,No,One year,Yes,Electronic check,37.06,8661.5,2,No
CUST-0091,Female,0,No,No,53,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Mailed check,53.83,5246.7,2,No
CUST-0092,Female,0,Yes,Yes,59,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,76.42,8517.17,2,Yes
CUST-0093,Female,0,No,No,22,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),106.53,3187.64,3,No
CUST-0094,Female,1,Yes,Yes,51,Yes,No,DSL,Yes,No internet service,No internet service,No,Yes,No,Two year,Yes,Electronic check,112.79,3994.56,2,No
CUST-0095,Female,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,52.28,6550.0,1,Yes
CUST-0096,Female,0,No,No,21,Yes,Yes,DSL,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),24.85,6900.23,8,Yes
CUST-0097,Female,0,Yes,No,22,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),61.01,2041.19,5,No
CUST-0098,Female,0,No,No,30,Yes,No phone service,No,No internet service,Yes,No internet service,No internet service,No,No internet service,Two year,Yes,Electronic check,58.22,8090.53,2,No
CUST-0099,Male,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,118.62,7548.97,8,Yes
CUST-0100,Male,0,Yes,No,28,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No,Two year,No,Electronic check,61.97,176.06,3,No
CUST-0101,Female,0,Yes,No,65,Yes,No phone service,No,No,Yes,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,49.18,1134.23,3,No
CUST-0102,Female,0,Yes,Yes,45,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,55.27,4325.12,7,No
CUST-0103,Female,0,No,No,68,Yes,No,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,No,Mailed check,58.49,4020.02,6,Yes
CUST-0104,Female,0,No,No,7,No,No,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Two year,No,Credit card (automatic),101.8,6168.25,6,Yes
CUST-0105,Female,0,Yes,No,49,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No internet service,Two year,Yes,Credit card (automatic),26.26,796.87,9,No
CUST-0106,Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),50.28,5616.63,6,No
CUST-0107,Female,0,No,No,36,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,116.56,5369.32,9,No
CUST-0108,Female,0,Yes,Yes,1,Yes,Yes,No,No,Yes,No internet service,No internet service,Yes,No internet service,One year,Yes,Mailed check,33.62,2046.29,4,No
CUST-0109,Male,0,No,No,10,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,Month-to-month,No,Electronic check,93.75,4727.06,6,Yes
CUST-0110,Female,0,Yes,Yes,36,Yes,No,DSL,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.35,1947.2,3,No
CUST-0111,Male,0,Yes,Yes,46,Yes,No,Fiber optic,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),77.34,1293.59,7,No
CUST-0112,Female,0,No,Yes,32,Yes,No,DSL,No internet service,Yes,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,28.15,4993.96,8,No
CUST-0113,Female,0,No,No,32,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No,Month-to-month,Yes,Credit card (automatic),49.25,8504.43,2,Yes
CUST-0114,Male,1,No,No,6,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,69.09,2075.06,6,Yes
CUST-0115,Female,1,Yes,Yes,48,Yes,No,No,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,41.63,3103.03,9,No
CUST-0116,Male,0,Yes,No,38,No,Yes,No,No internet service,Yes,Yes,No,No internet service,No internet service,Two year,Yes,Electronic check,73.27,2245.57,8,No
CUST-0117,Female,0,No,No,17,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),40.42,2331.4,0,Yes
CUST-0118,Female,0,No,Yes,27,Yes,No phone service,DSL,No,No internet service,No internet service,No,No,No,One year,Yes,Credit card (automatic),84.31,3527.2,1,No
CUST-0119,Male,0,No,No,54,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),110.24,6111.51,6,No
CUST-0120,Female,0,No,No,50,Yes,No phone service,DSL,No internet service,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,26.72,354.9,1,No
CUST-0121,Male,0,Yes,No,35,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),40.09,8327.75,6,No
CUST-0122,Female,0,No,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),104.13,419.8,0,No
CUST-0123,Male,0,Yes,No,28,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,82.42,7669.04,2,No
CUST-0124,Male,0,Yes,No,15,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),26.03,7782.99,4,No
CUST-0125,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),67.61,4571.62,5,No
CUST-0126,Female,0,No,No,27,Yes,No phone service,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,39.4,1207.41,8,No
CUST-0127,Male,0,No,Yes,26,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,38.31,4924.6,8,No
CUST-0128,Female,0,Yes,No,19,Yes,No,DSL,No,Yes,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),113.95,5475.78,2,Yes
CUST-0129,Female,0,No,No,17,Yes,No,DSL,No internet service,No internet service,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),95.68,7465.06,7,Yes
CUST-0130,Female,0,No,Yes,43,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,89.02,4800.87,3,No
CUST-0131,Male,1,Yes,Yes,41,Yes,No,No,No,No,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),42.37,3583.78,6,Yes
CUST-0132,Male,0,No,No,42,Yes,Yes,DSL,No,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),30.09,7296.04,5,No
CUST-0133,Male,0,Yes,No,50,No,No,No,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),106.82,8534.62,7,No
CUST-0134,Male,0,No,No,40,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,Yes,Electronic check,18.6,5618.79,5,No
CUST-0135,Male,0,Yes,No,39,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,57.59,7609.43,3,No
CUST-0136,Male,0,No,Yes,23,Yes,No,No,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),46.32,5216.22,1,No
CUST-0137,Male,0,No,No,52,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,76.18,6006.74,6,No
CUST-0138,Male,0,Yes,Yes,47,Yes,No phone service,No,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),43.55,5992.67,3,Yes
CUST-0139,Male,0,Yes,No,63,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),49.74,6136.96,8,No
CUST-0140,Female,0,No,No,69,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,104.7,2805.04,8,No
CUST-0141,Male,0,Yes,No,43,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),79.53,5015.89,6,Yes
CUST-0142,Female,0,Yes,No,48,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),32.86,5176.29,4,No
CUST-0143,Female,0,Yes,No,34,No,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,92.1,2753.45,2,Yes
CUST-0144,Female,0,Yes,No,40,Yes,No phone service,DSL,No internet service,No,Yes,No internet service,No,Yes,Two year,No,Bank transfer (automatic),39.16,3055.42,2,No
CUST-0145,Male,1,No,No,61,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No,No,Two year,No,Credit card (automatic),62.17,6635.83,8,No
CUST-0146,Male,0,No,No,50,Yes,No phone service,Fiber optic,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,83.95,5077.21,8,Yes
CUST-0147,Male,0,Yes,No,67,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No,One year,No,Credit card (automatic),45.74,1313.45,3,No
CUST-0148,Male,0,Yes,No,62,Yes,No phone service,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),57.18,7290.36,0,No
CUST-0149,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,92.88,7685.2,9,No
CUST-0150,Male,0,Yes,No,33,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,113.67,4065.04,4,Yes
CUST-0151,Male,0,No,Yes,16,Yes,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No,One year,No,Credit card (automatic),71.98,1831.73,7,No
CUST-0152,Male,0,No,No,48,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,19.02,8245.12,9,Yes
CUST-0153,Male,0,Yes,No,10,Yes,No phone service,DSL,No internet service,No,No,No,No,Yes,One year,Yes,Electronic check,52.52,7677.86,3,No
CUST-0154,Male,0,Yes,Yes,38,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),58.66,2139.72,9,Yes
CUST-0155,Female,0,Yes,Yes,19,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,52.6,847.94,9,No
CUST-0156,Male,0,No,Yes,36,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,62.5,3843.75,3,No
CUST-0157,Female,0,Yes,No,59,Yes,Yes,No,Yes,Yes,No internet service,No,Yes,No,Two year,No,Mailed check,82.53,5890.48,8,No
CUST-0158,Male,0,No,No,63,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),30.36,1540.72,8,No
CUST-0159,Female,0,Yes,No,46,Yes,Yes,DSL,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Electronic check,45.81,4473.71,6,No
CUST-0160,Male,0,No,No,3,Yes,Yes,DSL,No,Yes,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),69.78,3711.46,9,Yes
CUST-0161,Male,1,Yes,No,65,Yes,Yes,DSL,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,50.19,7749.77,7,No
